"P.E.O.P.L.E. Population Estimates and Projections","","","","","",""
"Author: BC Stats","","","","","",""
"Release date: July 21, 2025","","","","","",""
"Geographic level: Health Service Delivery Area","","","","","",""
"Years: 1989-2019","","","","","",""
"-------------------------------------------------","","","","","",""
"Region","Health Service Delivery Area","Year","Type","Gender","Age","Pop"
"32","Vancouver","1989","Estimate","T","Total","478,247"
"32","Vancouver","1990","Estimate","T","Total","483,989"
"32","Vancouver","1991","Estimate","T","Total","491,784"
"32","Vancouver","1992","Estimate","T","Total","501,045"
"32","Vancouver","1993","Estimate","T","Total","506,382"
"32","Vancouver","1994","Estimate","T","Total","517,976"
"32","Vancouver","1995","Estimate","T","Total","529,936"
"32","Vancouver","1996","Estimate","T","Total","545,127"
"32","Vancouver","1997","Estimate","T","Total","554,340"
"32","Vancouver","1998","Estimate","T","Total","560,279"
"32","Vancouver","1999","Estimate","T","Total","566,559"
"32","Vancouver","2000","Estimate","T","Total","572,636"
"32","Vancouver","2001","Estimate","T","Total","582,122"
"32","Vancouver","2002","Estimate","T","Total","588,356"
"32","Vancouver","2003","Estimate","T","Total","592,888"
"32","Vancouver","2004","Estimate","T","Total","597,824"
"32","Vancouver","2005","Estimate","T","Total","605,220"
"32","Vancouver","2006","Estimate","T","Total","613,074"
"32","Vancouver","2007","Estimate","T","Total","616,318"
"32","Vancouver","2008","Estimate","T","Total","620,094"
"32","Vancouver","2009","Estimate","T","Total","629,499"
"32","Vancouver","2010","Estimate","T","Total","633,673"
"32","Vancouver","2011","Estimate","T","Total","637,398"
"32","Vancouver","2012","Estimate","T","Total","647,844"
"32","Vancouver","2013","Estimate","T","Total","659,287"
"32","Vancouver","2014","Estimate","T","Total","670,268"
"32","Vancouver","2015","Estimate","T","Total","673,674"
"32","Vancouver","2016","Estimate","T","Total","683,476"
"32","Vancouver","2017","Estimate","T","Total","689,506"
"32","Vancouver","2018","Estimate","T","Total","699,269"
"32","Vancouver","2019","Estimate","T","Total","714,849"
